function_name,instructions_number,is_eqv_VEIR_xdsl_vs_LLVM_globalisel,is_eqv_VEIR_xdsl_vs_LLVM_selectiondag,is_eqv_VEIR_llvm_vs_LLVM_globalisel,is_eqv_VEIR_llvm_vs_LLVM_selectiondag
3_function_0,3,False,False,False,False
3_function_1,3,False,False,True,True
3_function_2,3,False,False,False,False
3_function_3,3,True,True,False,False
3_function_4,3,False,False,False,False
3_function_5,3,True,True,True,True
3_function_6,3,True,True,True,True
3_function_7,3,False,False,False,False
3_function_8,3,False,False,True,True
3_function_9,3,True,True,False,False
4_function_0,4,False,False,False,False
4_function_1,4,False,False,True,True
4_function_2,4,True,True,True,True
4_function_3,4,False,False,False,False
4_function_4,4,False,False,False,False
4_function_5,4,True,True,True,True
4_function_6,4,False,False,False,False
4_function_7,4,True,True,False,False
4_function_8,4,False,False,False,False
4_function_9,4,False,False,True,True
5_function_0,5,False,False,False,False
5_function_1,5,False,False,False,False
5_function_2,5,False,False,False,False
5_function_3,5,False,False,False,False
5_function_4,5,False,False,False,False
5_function_5,5,False,False,False,False
5_function_6,5,False,False,False,False
5_function_7,5,True,True,False,False
5_function_8,5,False,False,False,False
5_function_9,5,False,False,False,False
6_function_0,6,False,False,True,True
6_function_1,6,False,False,True,True
6_function_2,6,False,False,False,False
6_function_3,6,True,True,True,True
6_function_4,6,False,False,False,False
6_function_5,6,False,False,False,False
6_function_6,6,False,False,False,False
6_function_7,6,False,False,False,False
6_function_8,6,False,False,False,False
6_function_9,6,False,False,False,False
7_function_0,7,False,False,False,False
7_function_1,7,False,False,False,False
7_function_2,7,False,False,False,False
7_function_3,7,False,False,False,False
7_function_4,7,False,False,False,False
7_function_5,7,False,False,False,False
7_function_6,7,False,False,False,False
7_function_7,7,False,False,False,False
7_function_8,7,False,False,True,True
7_function_9,7,False,False,False,False
8_function_0,8,False,False,False,False
8_function_1,8,False,False,False,False
8_function_2,8,False,False,False,False
8_function_3,8,False,False,False,False
8_function_4,8,False,False,False,False
8_function_5,8,False,False,False,False
8_function_6,8,False,False,False,False
8_function_7,8,False,False,False,False
8_function_8,8,False,False,False,False
8_function_9,8,False,False,False,False
