function_name,instructions_number,LLVM_globalisel_tot_cycles,LLVM_selectiondag_tot_cycles,VEIR_xdsl_tot_cycles,VEIR_llvm_tot_cycles
3_function_0,3,1,1,2,1
3_function_1,3,1,1,3,1
3_function_2,3,1,1,3,1
3_function_3,3,135,135,135,135
3_function_4,3,68,68,68,69
3_function_5,3,1,1,1,1
3_function_6,3,69,69,69,69
3_function_7,3,3,3,3,3
3_function_8,3,3,3,3,3
3_function_9,3,69,69,69,70
4_function_0,4,1,1,3,1
4_function_1,4,3,3,3,3
4_function_2,4,69,69,69,69
4_function_3,4,70,70,70,70
4_function_4,4,69,69,71,69
4_function_5,4,1,1,1,1
4_function_6,4,136,136,136,136
4_function_7,4,134,134,134,135
4_function_8,4,70,70,71,70
4_function_9,4,1,1,4,1
5_function_0,5,72,72,73,72
5_function_1,5,69,69,70,69
5_function_2,5,71,71,71,71
5_function_3,5,1,1,3,2
5_function_4,5,5,5,5,5
5_function_5,5,138,138,139,138
5_function_6,5,71,71,71,71
5_function_7,5,264,264,264,264
5_function_8,5,71,71,72,71
5_function_9,5,1,1,4,1
6_function_0,6,1,1,2,1
6_function_1,6,1,1,4,1
6_function_2,6,69,69,70,70
6_function_3,6,72,72,72,72
6_function_4,6,4,4,3,3
6_function_5,6,136,136,137,136
6_function_6,6,140,140,143,140
6_function_7,6,73,73,73,73
6_function_8,6,75,75,75,75
6_function_9,6,71,71,72,71
7_function_0,7,74,74,75,74
7_function_1,7,76,76,77,76
7_function_2,7,139,139,143,139
7_function_3,7,202,202,203,202
7_function_4,7,202,202,202,202
7_function_5,7,73,73,74,74
7_function_6,7,140,140,141,140
7_function_7,7,140,138,139,140
7_function_8,7,1,1,4,1
7_function_9,7,1,1,4,1
8_function_0,8,205,205,206,205
8_function_1,8,74,74,79,74
8_function_2,8,140,140,142,140
8_function_3,8,14,14,15,14
8_function_4,8,72,72,72,73
8_function_5,8,140,140,142,140
8_function_6,8,268,268,268,268
8_function_7,8,142,142,142,143
8_function_8,8,140,140,141,140
8_function_9,8,6,6,7,6
