function_name,instructions_number,LLVM_globalisel_tot_instructions,LLVM_selectiondag_tot_instructions,VEIR_xdsl_tot_instructions,VEIR_llvm_tot_instructions
3_function_0,3,2,2,3,2
3_function_1,3,2,2,4,2
3_function_2,3,1,1,4,2
3_function_3,3,4,4,4,4
3_function_4,3,4,4,4,4
3_function_5,3,2,2,2,2
3_function_6,3,3,3,3,3
3_function_7,3,4,4,5,4
3_function_8,3,4,4,5,4
3_function_9,3,4,4,4,4
4_function_0,4,1,1,4,2
4_function_1,4,2,2,3,2
4_function_2,4,5,5,5,5
4_function_3,4,5,5,5,5
4_function_4,4,3,3,5,3
4_function_5,4,2,2,2,2
4_function_6,4,5,5,5,5
4_function_7,4,4,4,4,4
4_function_8,4,4,4,5,4
4_function_9,4,2,2,5,2
5_function_0,5,4,4,5,4
5_function_1,5,4,4,5,4
5_function_2,5,5,5,5,5
5_function_3,5,2,2,4,3
5_function_4,5,6,6,7,6
5_function_5,5,6,6,7,6
5_function_6,5,6,6,6,6
5_function_7,5,5,5,5,5
5_function_8,5,6,6,7,6
5_function_9,5,1,1,5,2
6_function_0,6,2,2,4,2
6_function_1,6,2,2,5,2
6_function_2,6,3,3,4,4
6_function_3,6,5,5,5,5
6_function_4,6,7,5,5,4
6_function_5,6,7,7,8,7
6_function_6,6,7,7,8,7
6_function_7,6,7,7,7,7
6_function_8,6,7,7,7,7
6_function_9,6,7,7,8,7
7_function_0,7,7,7,9,8
7_function_1,7,8,8,9,8
7_function_2,7,8,8,9,8
7_function_3,7,8,8,9,8
7_function_4,7,7,7,7,7
7_function_5,7,8,8,9,8
7_function_6,7,7,7,8,7
7_function_7,7,9,8,9,9
7_function_8,7,2,2,5,2
7_function_9,7,1,1,5,2
8_function_0,8,9,9,10,9
8_function_1,8,9,9,10,9
8_function_2,8,9,9,10,9
8_function_3,8,9,9,10,9
8_function_4,8,7,7,8,7
8_function_5,8,7,7,9,7
8_function_6,8,9,9,9,9
8_function_7,8,9,9,9,9
8_function_8,8,9,9,10,9
8_function_9,8,5,5,6,5
